MemoryType,BlockSize,ElementType,BufferSize,LaunchNum,Timer,WriteTime,AverageWriteTime,WriteBandwidth,AbsError(write),RelError(write),ReadTime,AverageReadTime,ReadBandwidth,AbsError(read),RelError(read)
RAM,1/1Mb,c,1,1,std::chrono::system_clock::now(),0.000867,0.000867,1153.309421,0,0,0.00034,0.00034,2942.414015,0,0
RAM,1/1Mb,c,1,2,std::chrono::system_clock::now(),0.000835,0.000851,1174.856198,1.6E-05,1.868256,0.000411,0.000375,2664.602488,3.5E-05,9.441619
RAM,1/1Mb,c,1,3,std::chrono::system_clock::now(),0.00055,0.000751,1331.976493,0.000143,18.991999,0.000527,0.000426,2347.864265,7.7E-05,18.131095
RAM,1/1Mb,c,1,4,std::chrono::system_clock::now(),0.000574,0.000706,1415.516825,0.000145,20.579855,0.000642,0.00048,2083.997608,0.000115,23.94088
RAM,1/1Mb,c,1,5,std::chrono::system_clock::now(),0.000427,0.000651,1536.994536,0.000171,26.345172,0.000311,0.000446,2242.244972,0.000123,27.594483
RAM,1/1Mb,c,1,6,std::chrono::system_clock::now(),0.000373,0.000604,1654.724155,0.000188,31.044275,0.000424,0.000442,2260.487248,0.000113,25.460219
RAM,1/1Mb,c,1,7,std::chrono::system_clock::now(),0.000448,0.000582,1718.394852,0.000182,31.300114,0.000335,0.000427,2341.691611,0.000111,25.95545
RAM,1/1Mb,c,1,8,std::chrono::system_clock::now(),0.000383,0.000557,1795.153266,0.000183,32.790224,0.000303,0.000412,2429.727719,0.000111,27.084459
RAM,1/1Mb,c,1,9,std::chrono::system_clock::now(),0.000359,0.000535,1868.816165,0.000183,34.212315,0.000388,0.000409,2445.22891,0.000105,25.76166
RAM,1/1Mb,c,1,10,std::chrono::system_clock::now(),0.000383,0.00052,1923.442747,0.00018,34.537193,0.000305,0.000399,2508.7222,0.000105,26.256437
HDD,1/1Mb,c,1,1,std::chrono::system_clock::now(),0.133782,0.133782,7.474849,0,0,0.108772,0.108772,9.193528,0,0
HDD,1/1Mb,c,1,2,std::chrono::system_clock::now(),0.129036,0.131409,7.609843,0.002373,1.805971,0.108676,0.108724,9.1976,4.8E-05,0.044285
HDD,1/1Mb,c,1,3,std::chrono::system_clock::now(),0.134567,0.132461,7.549371,0.002444,1.844693,0.107739,0.108396,9.225464,0.000466,0.42997
HDD,1/1Mb,c,1,4,std::chrono::system_clock::now(),0.132645,0.132507,7.546759,0.002118,1.598122,0.107814,0.10825,9.237855,0.000476,0.439484
HDD,1/1Mb,c,1,5,std::chrono::system_clock::now(),0.130837,0.132173,7.56583,0.002008,1.519533,0.107641,0.108128,9.24826,0.00049,0.453445
HDD,1/1Mb,c,1,6,std::chrono::system_clock::now(),0.133121,0.132331,7.556794,0.001867,1.410985,0.115891,0.109422,9.138911,0.002927,2.67531
HDD,1/1Mb,c,1,7,std::chrono::system_clock::now(),0.13968,0.133381,7.497316,0.003099,2.32307,0.110211,0.109535,9.129507,0.002724,2.487112
HDD,1/1Mb,c,1,8,std::chrono::system_clock::now(),0.135037,0.133588,7.485696,0.00295,2.208076,0.107892,0.10933,9.146652,0.002606,2.38322
HDD,1/1Mb,c,1,9,std::chrono::system_clock::now(),0.132612,0.13348,7.491781,0.002798,2.096131,0.109848,0.109387,9.141836,0.002462,2.250672
HDD,1/1Mb,c,1,10,std::chrono::system_clock::now(),0.131564,0.133288,7.502547,0.002716,2.037554,0.109573,0.109406,9.140281,0.002336,2.135421
flash,1/1Mb,c,1,1,std::chrono::system_clock::now(),0.137935,0.137935,7.249801,0,0,0.111369,0.111369,8.979175,0,0
flash,1/1Mb,c,1,2,std::chrono::system_clock::now(),0.173823,0.155879,6.415241,0.017944,11.511482,0.128606,0.119988,8.334194,0.008619,7.183076
flash,1/1Mb,c,1,3,std::chrono::system_clock::now(),0.138527,0.150095,6.662452,0.01678,11.179511,0.151855,0.13061,7.65638,0.016589,12.701145
flash,1/1Mb,c,1,4,std::chrono::system_clock::now(),0.144702,0.148747,6.722841,0.014718,9.894834,0.114825,0.126664,7.894918,0.01591,12.560476
flash,1/1Mb,c,1,5,std::chrono::system_clock::now(),0.170394,0.153076,6.532698,0.015757,10.293482,0.115014,0.124334,8.042869,0.014974,12.043037
flash,1/1Mb,c,1,6,std::chrono::system_clock::now(),0.172789,0.156362,6.395433,0.016151,10.329571,0.123622,0.124215,8.050549,0.013671,11.006307
flash,1/1Mb,c,1,7,std::chrono::system_clock::now(),0.170884,0.158436,6.311689,0.015793,9.968217,0.110491,0.122255,8.179654,0.013538,11.07344
flash,1/1Mb,c,1,8,std::chrono::system_clock::now(),0.168167,0.159653,6.263604,0.01512,9.470365,0.112018,0.120975,8.266168,0.013108,10.835397
flash,1/1Mb,c,1,9,std::chrono::system_clock::now(),0.187163,0.162709,6.145931,0.016672,10.246477,0.111801,0.119956,8.336409,0.01269,10.579145
flash,1/1Mb,c,1,10,std::chrono::system_clock::now(),0.151514,0.16159,6.18851,0.016169,10.006236,0.110165,0.118977,8.405009,0.012392,10.415638
RAM,51/1Mb,c,1,1,std::chrono::system_clock::now(),0.045186,0.045186,1128.660353,0,0,0.016002,0.016002,3187.075123,0,0
RAM,51/1Mb,c,1,2,std::chrono::system_clock::now(),0.053615,0.049401,1032.376794,0.004214,8.530782,0.016144,0.016073,3173.023181,7.1E-05,0.440904
RAM,51/1Mb,c,1,3,std::chrono::system_clock::now(),0.046067,0.048289,1056.136076,0.003783,7.833774,0.017687,0.016611,3070.239125,0.000763,4.5943
RAM,51/1Mb,c,1,4,std::chrono::system_clock::now(),0.045383,0.047563,1072.268742,0.003509,7.378536,0.016028,0.016465,3097.416481,0.000707,4.296844
RAM,51/1Mb,c,1,5,std::chrono::system_clock::now(),0.045379,0.047126,1082.204316,0.003258,6.913712,0.017614,0.016695,3054.787323,0.000782,4.684349
RAM,51/1Mb,c,1,6,std::chrono::system_clock::now(),0.048987,0.047436,1075.126823,0.003054,6.438327,0.018775,0.017042,2992.657339,0.001054,6.183247
RAM,51/1Mb,c,1,7,std::chrono::system_clock::now(),0.053035,0.048236,1057.299634,0.00344,7.131516,0.017917,0.017167,2970.86332,0.001022,5.95628
RAM,51/1Mb,c,1,8,std::chrono::system_clock::now(),0.049869,0.04844,1052.844641,0.003263,6.735709,0.018199,0.017296,2948.698415,0.001016,5.871758
RAM,51/1Mb,c,1,9,std::chrono::system_clock::now(),0.051845,0.048819,1044.685879,0.003257,6.671593,0.018765,0.017459,2921.131251,0.001063,6.088395
RAM,51/1Mb,c,1,10,std::chrono::system_clock::now(),0.055457,0.049482,1030.671376,0.003676,7.428879,0.019152,0.017628,2893.078753,0.001129,6.405007
HDD,51/1Mb,c,1,1,std::chrono::system_clock::now(),6.974428,6.974428,7.312428,0,0,5.929022,5.929022,8.601756,0,0
HDD,51/1Mb,c,1,2,std::chrono::system_clock::now(),7.310644,7.142536,7.140321,0.168108,2.353618,5.968154,5.948588,8.573463,0.019566,0.328924
HDD,51/1Mb,c,1,3,std::chrono::system_clock::now(),6.847009,7.044027,7.240177,0.195572,2.776419,6.215877,6.037684,8.446947,0.12701,2.103624
HDD,51/1Mb,c,1,4,std::chrono::system_clock::now(),7.263688,7.098942,7.184169,0.194251,2.736331,6.06213,6.043796,8.438406,0.110502,1.828358
HDD,51/1Mb,c,1,5,std::chrono::system_clock::now(),7.236545,7.126463,7.156426,0.182253,2.557411,6.144634,6.063964,8.410341,0.10675,1.760398
HDD,51/1Mb,c,1,6,std::chrono::system_clock::now(),7.009118,7.106905,7.176119,0.172025,2.420532,6.09087,6.068448,8.404126,0.097963,1.614308
HDD,51/1Mb,c,1,7,std::chrono::system_clock::now(),7.461461,7.157556,7.125337,0.201886,2.820604,6.398334,6.115575,8.339364,0.146804,2.400492
HDD,51/1Mb,c,1,8,std::chrono::system_clock::now(),7.249622,7.169064,7.113899,0.191286,2.668217,6.035875,6.105612,8.352971,0.139829,2.290175
HDD,51/1Mb,c,1,9,std::chrono::system_clock::now(),7.40265,7.195018,7.088238,0.194714,2.706237,6.529021,6.152658,8.289101,0.187312,3.044415
HDD,51/1Mb,c,1,10,std::chrono::system_clock::now(),5.872252,7.062742,7.220992,0.437717,6.197553,5.351612,6.072553,8.398445,0.298878,4.921785
flash,51/1Mb,c,1,1,std::chrono::system_clock::now(),13.328509,13.328509,3.826384,0,0,5.317162,5.317162,9.591583,0,0
flash,51/1Mb,c,1,2,std::chrono::system_clock::now(),6.778089,10.053299,5.072961,3.27521,32.578459,5.312092,5.314627,9.596158,0.002535,0.047697
flash,51/1Mb,c,1,3,std::chrono::system_clock::now(),8.339606,9.482068,5.378573,2.793554,29.461441,5.305964,5.311739,9.601375,0.004578,0.086194
flash,51/1Mb,c,1,4,std::chrono::system_clock::now(),6.792601,8.809701,5.789073,2.684993,30.477689,5.304615,5.309958,9.604596,0.005024,0.094611
flash,51/1Mb,c,1,5,std::chrono::system_clock::now(),6.231271,8.294015,6.149012,2.613633,31.512281,5.312664,5.310499,9.603617,0.004622,0.087033
flash,51/1Mb,c,1,6,std::chrono::system_clock::now(),6.241513,7.951932,6.413536,2.505528,31.508425,5.311893,5.310732,9.603197,0.004251,0.080046
flash,51/1Mb,c,1,7,std::chrono::system_clock::now(),6.786401,7.785427,6.5507,2.35525,30.252038,5.308249,5.310377,9.603838,0.00403,0.075897
flash,51/1Mb,c,1,8,std::chrono::system_clock::now(),6.374062,7.609007,6.702583,2.252038,29.597,5.318568,5.311401,9.601987,0.004642,0.087404
flash,51/1Mb,c,1,9,std::chrono::system_clock::now(),6.782501,7.517173,6.784466,2.13907,28.455783,5.326145,5.313039,9.599026,0.006374,0.11997
flash,51/1Mb,c,1,10,std::chrono::system_clock::now(),6.237989,7.389254,6.901914,2.065267,27.9496,5.307362,5.312471,9.600052,0.006282,0.118254
RAM,101/1Mb,c,1,1,std::chrono::system_clock::now(),0.091994,0.091994,1097.900768,0,0,0.030161,0.030161,3348.728644,0,0
RAM,101/1Mb,c,1,2,std::chrono::system_clock::now(),0.092528,0.092261,1094.722988,0.000267,0.289442,0.030194,0.030177,3346.882353,1.7E-05,0.055134
RAM,101/1Mb,c,1,3,std::chrono::system_clock::now(),0.093363,0.092628,1090.380071,0.000564,0.608418,0.030162,0.030172,3347.431137,1.5E-05,0.050645
RAM,101/1Mb,c,1,4,std::chrono::system_clock::now(),0.092224,0.092527,1091.570519,0.000518,0.560352,0.030179,0.030174,3347.236905,1.4E-05,0.044994
RAM,101/1Mb,c,1,5,std::chrono::system_clock::now(),0.092236,0.092469,1092.256996,0.000478,0.517042,0.030185,0.030176,3346.986631,1.3E-05,0.04293
RAM,101/1Mb,c,1,6,std::chrono::system_clock::now(),0.093243,0.092598,1090.735145,0.000523,0.564997,0.030382,0.030211,3343.193584,7.7E-05,0.256413
RAM,101/1Mb,c,1,7,std::chrono::system_clock::now(),0.092978,0.092652,1090.096297,0.000502,0.542108,0.031979,0.030463,3315.473996,0.000623,2.044557
RAM,101/1Mb,c,1,8,std::chrono::system_clock::now(),0.094872,0.09293,1086.842023,0.000871,0.937794,0.030267,0.030439,3318.140166,0.000586,1.925835
RAM,101/1Mb,c,1,9,std::chrono::system_clock::now(),0.093869,0.093034,1085.623397,0.000873,0.938384,0.030338,0.030428,3319.362724,0.000554,1.81935
RAM,101/1Mb,c,1,10,std::chrono::system_clock::now(),0.094174,0.093148,1084.294672,0.000896,0.961972,0.030257,0.03041,3321.225668,0.000528,1.735144
HDD,101/1Mb,c,1,1,std::chrono::system_clock::now(),11.814957,11.814957,8.548486,0,0,10.496846,10.496846,9.621938,0,0
